idingreso,tipo_comprobante,serie_comprobante,num_comprobante,fecha,impuesto,total,estado_x,tipo_persona,nombre_proveedor,tipo_documento_proveedor,num_documento_proveedor,direccion_proveedor,telefono_proveedor,email_proveedor,nombre,tipo_documento,num_documento,direccion,telefono,email,clave,estado_y
820946950,Recibo,1759235,,2016-05-31,40.71,83536.47,Cancelada,proveedor,Elizabeth White,Pasaporte,164454832284798,"6313 Bailey Springs Apt. 251 New Maryfurt, GA 77508",+1-270-7,jason03@yahoo.com,Katherine Garcia,Pasaporte,190842568709907,"71047 Antonio Bypass Joeborough, WI 54705",(527)361,julie06@gmail.com,<memory at 0x143851180>,0
940750154,Factura,3583267,,2016-08-28,74.12,51546.08,Pendiente,proveedor,Kaitlyn Ryan,Tarjeta Residencia,164912223990821,"PSC 3466, Box 1810 APO AP 18632",753.898.,rodney10@yahoo.com,Katherine Garcia,Pasaporte,190842568709907,"71047 Antonio Bypass Joeborough, WI 54705",(527)361,julie06@gmail.com,<memory at 0x143851180>,0
300224655,Ticket de Venta,7372945,,2020-01-05,22.01,93671.82,Pendiente,proveedor,Elizabeth White,Pasaporte,164454832284798,"6313 Bailey Springs Apt. 251 New Maryfurt, GA 77508",+1-270-7,jason03@yahoo.com,John Williams,DNI,109136830015900,"26916 Dalton Crescent North Josephstad, WA 75499",001-275-,swood@hotmail.com,<memory at 0x1437fd180>,1
439912004,Recibo,4034094,,2021-02-01,85.56,62874.5,En proceso,proveedor,Nicole Soto,NIE,156910165125901,"179 Karen Shoals Apt. 242 Jacquelinemouth, MI 32057",224-398-,benjamin95@yahoo.com,John Williams,DNI,109136830015900,"26916 Dalton Crescent North Josephstad, WA 75499",001-275-,swood@hotmail.com,<memory at 0x1437fd180>,1
506528209,Factura,7707144,,2021-07-16,56.37,45546.03,En proceso,proveedor,Elizabeth White,Pasaporte,164454832284798,"6313 Bailey Springs Apt. 251 New Maryfurt, GA 77508",+1-270-7,jason03@yahoo.com,Kayla Hamilton,NIE,116011964916925,"PSC 2265, Box 5100 APO AP 27739",696-803-,vcortez@yahoo.com,<memory at 0x143817940>,1
170641419,Nota de Crédito,7145488,,2015-11-22,91.03,310.8,Cancelada,proveedor,Jerome Miller,DNI,110967075994745,"40850 Cindy Fork Gallowayland, MP 12351",525-460-,john15@gmail.com,Crystal King,Pasaporte,184781533289125,"39228 Anthony Grove East Barbara, NC 12649",(922)309,hillmonica@gmail.com,<memory at 0x143803400>,0
186235616,Ticket de Venta,4451087,,2020-04-05,57.81,63320.94,Cancelada,proveedor,Jerome Miller,DNI,110967075994745,"40850 Cindy Fork Gallowayland, MP 12351",525-460-,john15@gmail.com,Debra Hernandez,Pasaporte,127629022103180,"210 Christine Circle Jonathanberg, IA 27426",(597)589,gonzalesangela@yahoo.com,<memory at 0x14383de40>,0
685154319,Nota de Crédito,6447125,,2016-10-21,77.15,86941.76,Reembolsada,proveedor,Richard Pugh,DNI,116095901656072,"0102 Scott Turnpike New Zachary, NE 94007",238.745.,kennethhester@gmail.com,Sandra Collins,Pasaporte,172279493562875,"41380 Chambers Loop Apt. 660 Markstad, GU 02835",(513)715,bmcmahon@yahoo.com,<memory at 0x1437ff640>,1
496222506,Recibo,7399741,,2017-09-09,71.01,63472.47,En proceso,proveedor,Richard Pugh,DNI,116095901656072,"0102 Scott Turnpike New Zachary, NE 94007",238.745.,kennethhester@gmail.com,Melissa Morris,Pasaporte,166084691318229,"0777 Gallagher Crossing Lake Johnnybury, MI 45510",25642045,kristen68@gmail.com,<memory at 0x143831900>,0
222552400,Nota de Crédito,6394224,,2018-08-24,35.85,9657.37,En proceso,proveedor,Tina Mccoy,DNI,127208132637409,"973 Bradshaw Plaza Port Aaronburgh, WI 89973",682.930.,halldavid@yahoo.com,Melissa Morris,Pasaporte,166084691318229,"0777 Gallagher Crossing Lake Johnnybury, MI 45510",25642045,kristen68@gmail.com,<memory at 0x143831900>,0
