idpersona,tipo_persona,nombre,tipo_documento,num_documento,direccion,telefono,email
518494208,proveedor,Morgan Hahn,DNI,149354134161409,"7620 Brian Lodge Apt. 687 Ortizfurt, WI 83186",233.372.,makayla15@yahoo.com
194772995,cliente,Jeremy Sanchez,Pasaporte,177566692218882,USNV Reed FPO AE 29082,662-949-,yrichardson@hotmail.com
821172229,cliente,Lauren Everett,NIE,122589503164419,"493 Shepherd Turnpike Suite 415 Harpershire, OH 28189",672-397-,william21@gmail.com
754774022,cliente,Dan Hernandez,DNI,182064191703046,"527 Diane Locks Suite 818 Emilyfurt, VA 16746",310.228.,rmoody@yahoo.com
313305098,proveedor,Kerry Rodriguez,DNI,130128124657671,"7776 Warren Light West Cassiefort, MS 61996",479.550.,webbthomas@hotmail.com
435355658,cliente,Christopher Phillips,Pasaporte,165991424086024,"005 Angela Springs Apt. 354 South Angela, ME 53642",277.868.,betty38@yahoo.com
664700941,cliente,Ashley Morgan MD,NIE,194934328872971,USS Benson FPO AA 80744,+1-228-7,scott93@gmail.com
364791821,proveedor,Robert Silva,DNI,113049717794830,"84321 Hicks Harbors Philipland, MI 94346",001-233-,bmaynard@hotmail.com
612151311,cliente,Brittany Smith,Pasaporte,100735833171983,"795 Stevens Route Port Keithburgh, NM 97207",+1-231-6,griffinrachel@gmail.com
109277201,cliente,Robert White,Tarjeta Residencia,142160110090256,"5860 Moore Mountain Apt. 929 North Erikland, TX 20809",787-648-,atkinscollin@hotmail.com
962441239,proveedor,Tyler Velazquez,Pasaporte,192883771021329,"7763 Hunt Locks Gabrielleside, VI 99650",(222)417,porterdavid@hotmail.com
546172951,cliente,Thomas Haley,NIE,108995791380495,"121 Michele Lock Suite 267 South Christopher, MP 33681",466-686-,lindaboyd@hotmail.com
746317851,cliente,Jennifer Green,NIE,140049322283028,"3807 Hogan Trafficway Johnburgh, MO 31503",896-954-,margaretclark@gmail.com
209471519,proveedor,Ashley Dillon,Tarjeta Residencia,162420219668502,"9943 Clark Wells New James, MS 55585",79232088,nicholasramos@gmail.com
265291814,cliente,Carl Ramirez,DNI,167420639395862,"06662 Eric Pike Clarkfort, PR 82192",(365)520,xsmith@hotmail.com
283078697,proveedor,Kyle Taylor,DNI,146218110027802,"388 Jeremy Walk Suite 851 Yuton, MS 29349",494-673-,ndodson@hotmail.com
613443627,cliente,Lucas Gutierrez,DNI,108639124170778,"79933 White Extension Suite 092 East Patriciaborough, RI 04451",728-932-,kim76@yahoo.com
792643627,cliente,Carlos Ayala,DNI,155786949724188,"13461 Brandy Fords Apt. 988 Alexanderfurt, PR 53275",+1-382-7,griffithjill@gmail.com
780286001,cliente,Sarah Johnson,DNI,150165208823842,"05920 Robertson Square Suite 726 Susanland, MP 53925",645.407.,ireynolds@gmail.com
