idusuario,nombre_usuario,tipo_documento,num_documento,direccion,telefono,email,clave,estado_usuario,nombre_rol,descripcion,estado_rol
8519681,Joseph Simmons,DNI,160270278742016,"798 Flores Inlet South Richard, KS 94909",(976)205,youngryan@hotmail.com,<memory at 0x11d64b940>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
4390921,Sherry Bennett,Pasaporte,119765538504727,"3090 Paula Crossing East Diane, SD 41225",001-665-,mark61@hotmail.com,<memory at 0x11d64bd00>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8620048,Kristy Bush,DNI,173325928159262,"80172 Barrera Ranch Lake Charlesview, AZ 98072",001-631-,norrisamber@hotmail.com,<memory at 0x11db98040>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
3041299,Christine Gonzalez,NIE,184220062969887,"0971 Alexandra Summit Apt. 974 Port Brianburgh, SC 95421",783.268.,herrerajodi@gmail.com,<memory at 0x11db981c0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
4343830,Steven Davies,DNI,170416386449441,"159 Joseph Islands Anthonyville, TN 53921",984-490-,thomasmark@hotmail.com,<memory at 0x11db98340>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2424856,Thomas Norman,DNI,181742833078312,"16274 Campbell Street Wellsport, OR 56214",408-387-,jacobrobles@yahoo.com,<memory at 0x11db98400>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
7954456,Jared Thompson,NIE,129583890843689,"0891 Sharon Plaza Lake Susanside, VT 16182",+1-569-6,taylorjason@gmail.com,<memory at 0x11db984c0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2324509,Melanie Taylor MD,Pasaporte,182241636317226,"5876 Martin Mountains Garrisonshire, VA 36842",+1-570-3,joelbrooks@yahoo.com,<memory at 0x11db98580>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2529310,Rachel Baker,Pasaporte,131793131726896,"34944 Kennedy Station Santiagoland, WY 90070",001-812-,parksgeorge@gmail.com,<memory at 0x11db987c0>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
6195236,Jennifer Roth,Pasaporte,133287953633338,"175 Rosales Prairie Suite 475 Lisaside, MT 83356",001-574-,matthewvargas@hotmail.com,<memory at 0x11db98a00>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
9007146,Leonard Wright,NIE,199434607669316,"66000 Carol Islands Suite 178 Tylerton, GA 88494",+1-293-2,veronica68@hotmail.com,<memory at 0x11db98b80>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
5578799,Arthur Hopkins,Pasaporte,111157047771209,"2627 Peck Port Lake Richardfort, IA 35645",806.871.,qmiller@yahoo.com,<memory at 0x11db98dc0>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2756657,George Lewis,DNI,108890115307597,"7105 Misty Ranch Apt. 741 Anneport, ID 42306",517.944.,morganjeffery@yahoo.com,<memory at 0x11db98e80>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
4732979,Johnny Robinson,Pasaporte,136226780571726,"945 Kline Light Lake Jonathan, FM 32727",001-983-,tanner72@hotmail.com,<memory at 0x11db98f40>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2979898,Jordan Griffin,DNI,195580451287127,"8457 Jennifer Manor Apt. 002 Jenniferview, NH 31539",453.200.,jtaylor@hotmail.com,<memory at 0x11db99240>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
6451270,Jessica Ward,NIE,175005241165913,"PSC 9580, Box 2117 APO AE 45147",632.554.,orodriguez@yahoo.com,<memory at 0x11db993c0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
6342734,Jade White,Pasaporte,141346878097498,"3787 Tara Heights Suite 026 Annamouth, MP 72501",753-818-,jacobssarah@gmail.com,<memory at 0x11db99480>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
6735955,Jesse Cook,DNI,139272937930841,"070 Michele Via West Deanport, MP 99242",931.486.,lijeffrey@gmail.com,<memory at 0x11db996c0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2021476,Carl Payne,NIE,162643818580071,"80928 Kristen Glen Apt. 625 Michaelbury, TN 79533",381.291.,crodriguez@gmail.com,<memory at 0x11db99a80>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
4444261,Kim Baker,Pasaporte,141736892295272,"5952 Dale Freeway North Justin, PW 64558",(754)507,fieldsdakota@yahoo.com,<memory at 0x11db99b40>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
5677162,Samuel Rodriguez,Pasaporte,188164858071152,USCGC Pennington FPO AP 90131,620.939.,edward87@hotmail.com,<memory at 0x11db99d80>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
3831914,Jacob Hudson,Pasaporte,188322107064433,"771 Claire Vista Apt. 741 Ariaston, IN 03610",(753)649,zthompson@gmail.com,<memory at 0x11db99e40>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
7020654,Austin Coleman,Pasaporte,170922972725362,"9954 Connor Views Apt. 400 West Christinaville, FL 58727",+1-539-2,larsonjessica@gmail.com,<memory at 0x11db99f00>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
7989363,Ryan Peters,DNI,144469936593026,"06255 Adrienne Throughway Port Alicia, TX 38273",845.455.,sdixon@hotmail.com,<memory at 0x11db9a200>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
1317005,Tracy Johnston,Pasaporte,151306403125394,"150 Wyatt Summit Howardport, NM 38788",001-776-,david00@gmail.com,<memory at 0x11db9a8c0>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
2291855,Elizabeth Smith,NIE,104228808050838,"199 Roth Skyway Apt. 995 Johnchester, LA 66434",+1-695-7,lynn02@hotmail.com,<memory at 0x11db9aa40>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8077456,Kevin Lee,Pasaporte,132294516056215,"6889 Gordon Fork Suite 168 Dennisside, MA 68588",(672)313,chavezpamela@yahoo.com,<memory at 0x11db9ab00>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
8741012,Alicia Armstrong,Pasaporte,178615851845784,"32419 Fry Forest Robertschester, CO 18822",001-729-,timothymartin@hotmail.com,<memory at 0x11db9ad40>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
1001623,Edgar Collins,Pasaporte,146496839757979,"73988 Rosales Hollow North Emilyburgh, NY 91171",+1-697-6,cgraham@gmail.com,<memory at 0x11db9aec0>,0,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
9062556,Sheila Miller,NIE,106947377731744,"26146 Johnson Haven New Jeffery, HI 02325",(762)920,garcialuke@gmail.com,<memory at 0x11db9b1c0>,1,Usuario Estándar,Este rol tiene acceso limitado y puede realizar acciones básicas en el sistema.,1
