idventa,tipo_comprobante,serie_comprobante,num_comprobante,fecha,impuesto,total,estado_venta,tipo_persona,nombre_cliente,tipo_documento_cliente,num_documento_cliente,direccion_cliente,telefono_cliente,email_cliente,nombre_usuario,tipo_documento_usuario,num_documento_usuario,direccion_usuario,telefono_usuario,email_usuario,clave,estado_cliente
925698,Recibo,5277702,59021317,2019-06-24,66.6,26724.47,En proceso,cliente,Samantha Olsen,DNI,139925835644452,"07010 Tara Mount Tannertown, WA 98985",+1-310-5,luke15@gmail.com,Laura Norman,Pasaporte,137041096498865,"8629 Rita Overpass Suite 903 Travisside, NC 98041",897-364-,brandon45@yahoo.com,<memory at 0x11df49cc0>,0
981001,Factura,5711883,98777097,2018-03-03,40.93,71179.31,Pendiente,cliente,Theresa Gaines,NIE,179154902717881,"6320 Barbara Dam Suite 624 North Manueltown, SC 35371",707-585-,mcox@hotmail.com,Danielle Mills,DNI,164406115294418,"380 Stafford Rest Suite 084 Lake Chadshire, VT 40267",544.230.,george58@yahoo.com,<memory at 0x11df2a740>,0
494960,Boleta de Venta,6681938,31137142,2017-12-13,39.04,3634.4,Completada,cliente,Theresa Gaines,NIE,179154902717881,"6320 Barbara Dam Suite 624 North Manueltown, SC 35371",707-585-,mcox@hotmail.com,Gary Brown,DNI,149856481973744,"8115 Morris Ranch Hartmanfort, PA 40963",956.242.,markslaura@gmail.com,<memory at 0x11df3d240>,0
183799,Recibo,3036624,37961174,2017-05-22,45.31,47151.04,Cancelada,cliente,Travis Maxwell,Pasaporte,178640432546505,"663 Rose Ferry Suite 999 South Eric, NC 07069",+1-452-9,moorekelly@gmail.com,Gary Brown,DNI,149856481973744,"8115 Morris Ranch Hartmanfort, PA 40963",956.242.,markslaura@gmail.com,<memory at 0x11df3d240>,0
177650,Boleta de Venta,8619470,69189073,2021-12-03,0.12,51240.41,Pendiente,cliente,Theresa Gaines,NIE,179154902717881,"6320 Barbara Dam Suite 624 North Manueltown, SC 35371",707-585-,mcox@hotmail.com,Rodney Hendricks,DNI,157594144404203,"76126 Lisa Points Suite 687 Michelleburgh, ME 06462",(881)667,luiscontreras@gmail.com,<memory at 0x11df17940>,1
358413,Recibo,4642828,60155916,2016-11-09,16.61,20499.82,Completada,cliente,Brittany Alexander,Tarjeta Residencia,143515372700787,"69618 Ruiz Shoals Nancyshire, VA 04563",+1-277-9,justin42@yahoo.com,Adam Wilson,DNI,139586998820206,"7543 Lee Pines Velasquezfurt, CO 86239",(743)321,pamelamccoy@yahoo.com,<memory at 0x11df35e40>,1
473460,Boleta de Venta,7848353,23409073,2015-01-17,74.9,52217.87,En proceso,cliente,Janet Martinez,Tarjeta Residencia,198040696215305,"213 Bennett Estates Kevinburgh, DE 75078",841.629.,yroberts@hotmail.com,Adam Wilson,DNI,139586998820206,"7543 Lee Pines Velasquezfurt, CO 86239",(743)321,pamelamccoy@yahoo.com,<memory at 0x11df35e40>,1
514906,Factura,7893872,49755022,2019-08-17,16.72,62320.38,Completada,cliente,Brittany Alexander,Tarjeta Residencia,143515372700787,"69618 Ruiz Shoals Nancyshire, VA 04563",+1-277-9,justin42@yahoo.com,Evan Orr,Pasaporte,187125549290606,"14813 Ryan Ridge Jeffreyport, TX 44148",62151082,kirkdunn@hotmail.com,<memory at 0x11df28340>,0
396653,Nota de Crédito,8666444,74448242,2021-08-28,95.36,2307.24,Completada,cliente,Shelia Brown,Pasaporte,155291991280277,"37419 Park Summit Port Abigailport, WV 41323",922.234.,ocooper@yahoo.com,Evan Orr,Pasaporte,187125549290606,"14813 Ryan Ridge Jeffreyport, TX 44148",62151082,kirkdunn@hotmail.com,<memory at 0x11df28340>,0
706577,Ticket de Venta,8675344,62560272,2023-07-11,18.42,85114.21,Cancelada,cliente,Marissa Thompson,Pasaporte,192635707778483,"23523 Horton View Suite 941 Kristinberg, IA 78697",676-687-,kimberlystevens@yahoo.com,Jay Patel,Pasaporte,150230395317877,"6526 Wanda Drive Suite 670 Murphyshire, TX 81527",001-323-,csmith@hotmail.com,<memory at 0x11df484c0>,1
249475,Boleta de Venta,3307100,43445850,2023-05-04,63.47,91834.19,Cancelada,cliente,Amanda Brown,Pasaporte,162427138825317,"0318 Wallace Lodge Georgechester, KS 42564",+1-399-4,gileslisa@gmail.com,Jay Patel,Pasaporte,150230395317877,"6526 Wanda Drive Suite 670 Murphyshire, TX 81527",001-323-,csmith@hotmail.com,<memory at 0x11df484c0>,1
253992,Boleta de Venta,9744425,19228703,2018-03-08,46.39,36662.18,Cancelada,cliente,John Ellis,NIE,152492864386077,"4692 Stephen Mills Apt. 944 Mccallshire, TX 54926",001-420-,david68@yahoo.com,Jeremiah Arias,Pasaporte,168250188081203,"PSC 9401, Box 5560 APO AP 53679",633-902-,kshaffer@hotmail.com,<memory at 0x11defc1c0>,1
669882,Nota de Crédito,6865110,19536096,2020-09-17,31.5,20886.2,Cancelada,cliente,John Ellis,NIE,152492864386077,"4692 Stephen Mills Apt. 944 Mccallshire, TX 54926",001-420-,david68@yahoo.com,Samantha Howell,NIE,125007258828475,"780 James Cliff South Johnstad, NC 56343",486-556-,justin65@hotmail.com,<memory at 0x11df4a200>,1
838433,Boleta de Venta,2347842,26745687,2017-07-05,25.53,34769.2,Reembolsada,cliente,Nicole Sandoval,Tarjeta Residencia,173372067721030,"004 Garcia Mills Kimmouth, MS 75148",(636)463,kaylaperez@gmail.com,Samantha Howell,NIE,125007258828475,"780 James Cliff South Johnstad, NC 56343",486-556-,justin65@hotmail.com,<memory at 0x11df4a200>,1
937805,Boleta de Venta,4982595,10194764,2023-09-21,45.24,96404.34,Completada,cliente,Ryan Singh,NIE,145642574004765,"9404 Barr Isle Suite 623 East Brettburgh, KY 41927",(363)783,barreramary@yahoo.com,Samantha Howell,NIE,125007258828475,"780 James Cliff South Johnstad, NC 56343",486-556-,justin65@hotmail.com,<memory at 0x11df4a200>,1
674112,Boleta de Venta,2531683,32266608,2023-12-04,77.86,79943.38,Completada,cliente,John Ellis,NIE,152492864386077,"4692 Stephen Mills Apt. 944 Mccallshire, TX 54926",001-420-,david68@yahoo.com,Christian Knight,NIE,158636285246543,"888 Daniel Circles North Sarahburgh, NJ 94773",708.347.,kristin96@gmail.com,<memory at 0x11df23880>,1
